Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
25093977,18195658,25617076,10232177,3816370,23081653,5620000,3336771,18593745,2015,Cincinnati Bengals,12,134100760,143280000,4848065,4964686
29150301,15238245,19976581,14195413,2960730,28643720,4104117,1290634,4782767,2016,Cincinnati Bengals,6,121320842,155270000,3968637,30383944
25877914,13147219,11512404,16435413,4939470,25780871,4990000,1936467,21196312,2017,Cincinnati Bengals,7,128091070,167000000,4148865,28289941
35609625,11942289,24897082,837353,6118246,19417601,4725000,1485247,7163527,2018,Cincinnati Bengals,6,112195970,177200000,9127166,59003629
20232076,20325432,24040700,4171298,2200880,12996289,2015000,1970527,2893925,2013,Cleveland Browns,4,90846127,123000000,13777043,2176862
17394558,20827536,30465971,1308234,1529300,23760996,1293529,4350350,10653870,2014,Cleveland Browns,7,111584344,133000000,20541725,2720745
15212170,23383953,22983758,3193758,1650149,23158026,2920000,4347500,6977973,2015,Cleveland Browns,3,103827287,143280000,7054744,27370293
8181832,7098223,14877468,11209878,1966737,25029372,2719117,3587732,6787810,2016,Cleveland Browns,1,81775809,155270000,35204018,8796673
11384106,8398315,28508043,2209958,4057090,9538228,5102289,3254714,4926427,2017,Cleveland Browns,0,77946523,167000000,46236097,31938481
15435859,14850430,34715901,24207985,5575724,19653283,3678529,6490642,17843811,2018,Cleveland Browns,7,142452164,177200000,25921273,13574727
4828518,27662497,16432710,13818980,2257011,15896049,2095833,5623757,7392268,2013,Dallas Cowboys,8,96138211,123000000,16379985,3709893
9234028,10840335,20832762,12343000,2708845,24957970,3350000,9965143,5529361,2014,Dallas Cowboys,12,100529973,133000000,28302882,914055
11847879,12729545,16902333,2048822,3270822,26148454,4620000,7246896,4389281,2015,Dallas Cowboys,4,89789032,143280000,19218914,28808552
13106959,12171381,19742090,23380848,8975016,28880037,5920000,7201703,19385201,2016,Dallas Cowboys,13,139363235,155270000,3235487,4716309
18796485,13596952,14819794,1102514,8519689,8032972,6770000,16173079,25966833,2017,Dallas Cowboys,9,114468318,167000000,26658546,16444513
33927142,19209750,35212360,1816902,7576568,9509739,2900000,1653621,7718537,2018,Dallas Cowboys,10,121164619,177200000,32554792,20272639
11704751,11751884,24433424,18716294,5015552,23417570,5793833,8013902,9248787,2013,Denver Broncos,13,118575997,123000000,11883003,2551000
8821397,20262169,25093632,18459096,1929216,22399024,4134862,3669295,18544359,2014,Denver Broncos,12,123313050,133000000,9483329,1558347
9273923,24214482,23952950,19067139,2043041,22361592,3705000,7901142,22622875,2015,Denver Broncos,12,135142144,143280000,6148288,3808467
12304827,21097917,13438146,2261158,1107024,32952111,1281766,3912841,24386300,2016,Denver Broncos,9,112742090,155270000,15138349,19325789
7360586,29073938,11243345,2928704,5621511,32789122,3350002,4358731,24429819,2017,Denver Broncos,5,121736835,167000000,5457705,28744569
19807123,33800205,13725363,15630000,1455103,21340876,4497055,1175293,2628759,2018,Denver Broncos,6,114730854,177200000,26980844,39274965
20365856,11329067,13471450,21556666,3997008,10877140,1685075,4403158,10218000,2013,Detroit Lions,7,97903420,123000000,14829672,7112668
